experiment,hypothesis,model,cv_roc_auc,params_json,train_accuracy,train_f1,train_precision,train_recall,train_roc_auc,train_pr_auc,train_precision_at_top10,val_accuracy,val_f1,val_precision,val_recall,val_roc_auc,val_pr_auc,val_precision_at_top10,test_accuracy,test_f1,test_precision,test_recall,test_roc_auc,test_pr_auc,test_precision_at_top10
logreg_l2_rs,Линейная модель с подбором C даёт стабильный бейзлайн относительно CP1 LogReg.,LogisticRegression(l2) + StandardScaler,0.6569439910912289,"{""clf__C"": 0.006158482110660267}",0.6286126126126126,0.6693827794174259,0.6375190956309197,0.7045991760653745,0.6675445341302262,0.6890070501946219,0.7863063063063063,0.6409350824083417,0.6828108750557124,0.6458684654300169,0.7242357390482194,0.6738215258135578,0.6869341768965456,0.7710437710437711,0.6258617790482597,0.6663667716299295,0.63558352402746,0.7002836432398362,0.6547241721164356,0.6759685425777683,0.7727272727272727
logreg_l1_rs,Линейная модель с подбором C даёт стабильный бейзлайн относительно CP1 LogReg.,LogisticRegression(l1) + StandardScaler,0.6595685516020087,"{""clf__C"": 0.011288378916846888}",0.6266306306306306,0.6746428010676715,0.6304730602183355,0.7254676842034173,0.6650393710048195,0.6861359690015023,0.7859459459459459,0.6439623276152034,0.6936767472145855,0.6412520064205457,0.7554364954301922,0.6756540632175397,0.689575449745492,0.7777777777777778,0.6228350428787623,0.6723155588020453,0.6266339869281046,0.7251812165143398,0.6539361606161942,0.6761721337745473,0.7777777777777778
knn_rs,KNN на масштабированных признаках хуже GBM при умеренной размерности.,KNeighborsClassifier + StandardScaler,0.620932214229381,"{""clf__weights"": ""distance"", ""clf__p"": 1, ""clf__n_neighbors"": 200}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5977127480659267,0.6550331698875108,0.6038287689444297,0.7157264418531358,0.625102898384528,0.6475296096705379,0.7272727272727273,0.5900454010425424,0.6455364931666182,0.5991902834008097,0.6996533249290892,0.6155488325137,0.6427183065642769,0.7272727272727273
rf_rs,Случайный лес улавливает нелинейности без бустинга.,RandomForestClassifier,0.6582613905989781,"{""n_estimators"": 800, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": 6}",0.6384864864864865,0.6905231984205331,0.6355840763246068,0.7558587154724117,0.7043689350505411,0.7302856024628689,0.858018018018018,0.641439623276152,0.6957762557077626,0.6357235984354629,0.7683580208005043,0.6756469030924808,0.6952287246583922,0.803030303030303,0.6198083067092651,0.6755632084947625,0.6201264488935722,0.7418846517491333,0.6491904817845052,0.6733701291129182,0.7828282828282829
xgb_optuna,XGBoost с Optuna превосходит RF по ROC-AUC на CV.,XGBClassifier,0.6395793099988681,"{""n_estimators"": 332, ""max_depth"": 6, ""learning_rate"": 0.061678299451714144, ""subsample"": 0.9876101562488425, ""colsample_bytree"": 0.9408014880450793, ""reg_alpha"": 0.011106619045973827, ""reg_lambda"": 0.0015875554048317495, ""min_child_weight"": 9, ""random_state"": 42, ""n_jobs"": -1, ""eval_metric"": ""logloss""}",0.8489009009009009,0.862646182068333,0.8375954198473282,0.8892415749307759,0.9357492867837781,0.944378030592466,0.9981981981981982,0.6239488731920619,0.661826981246219,0.6362314626344868,0.6895682319571383,0.6584508967147413,0.6806004048622079,0.8013468013468014,0.603329409786447,0.6447824122873062,0.6173587081891581,0.6747557516545856,0.6356564751573013,0.6618719535077403,0.7626262626262627
lgbm_optuna,LightGBM сопоставим или лучше XGBoost при меньшем времени.,LGBMClassifier,0.6549623593594137,"{""n_estimators"": 209, ""max_depth"": 8, ""learning_rate"": 0.03085785293331568, ""subsample"": 0.9929775994066934, ""colsample_bytree"": 0.6070502356504718, ""reg_alpha"": 0.0076370696642139345, ""reg_lambda"": 9.484888221239915, ""num_leaves"": 66, ""random_state"": 42, ""n_jobs"": -1, ""verbose"": -1}",0.740936936936937,0.7676245272650871,0.7361438313701177,0.8019180117511988,0.8427384574622172,0.8571576197827937,0.956036036036036,0.6337033299697276,0.6728747371583058,0.642754662840746,0.7059565080365585,0.6712362660561542,0.6942770024713617,0.8232323232323232,0.6169497225491845,0.6567209162145871,0.6292232168639907,0.6867317995587772,0.6461854494630819,0.6742948109358988,0.7760942760942761
cat_optuna,CatBoost устойчив к смешанным признакам и конкурирует с LGBM.,CatBoostClassifier,0.6528193492602342,"{""iterations"": 568, ""depth"": 5, ""learning_rate"": 0.054051482170030286, ""l2_leaf_reg"": 5.318134317020825, ""random_seed"": 42, ""verbose"": false, ""thread_count"": -1}",0.7029189189189189,0.7339271882261813,0.7028497249180936,0.767880056729925,0.7859272006035722,0.8038505911797962,0.9091891891891892,0.6400941809619912,0.6800239234449761,0.6469416785206259,0.7166719193192562,0.6734711342967832,0.6907725121273436,0.7996632996632996,0.6159408104926853,0.6585949177877429,0.6263861245379585,0.6942956192877403,0.6487252414307726,0.675033694263037,0.7609427609427609
lgbm_calibrated,"Калибровка isotonic не снижает ROC-AUC, улучшает вероятности для порогов.","CalibratedClassifierCV(LGBM, isotonic)",,{},0.7388828828828828,0.7638662582285081,0.73808174318282,0.7915175254946984,0.833130026386377,0.8495230378108123,0.9628828828828829,0.6323578876555668,0.6690887072358462,0.6437518205651034,0.6965017333753546,0.6707928497400022,0.6920366826463696,0.8063973063973064,0.6159408104926853,0.6540442290215086,0.6296296296296297,0.6804286164513079,0.6471534220671851,0.6744851004114623,0.7794612794612794
stacking_rf_xgb_lgb_meta_logreg,Стекинг комбинирует сильные базовые модели и даёт прирост над одиночным LGBM.,"StackingClassifier(RF, XGB, LGBM + LogReg meta)",,"{""final"": ""LogisticRegression""}",0.6722882882882882,0.7117042860765914,0.6706697735555954,0.7580873910988046,0.7576902755707615,0.7777547364255913,0.8926126126126126,0.6409350824083417,0.6883666618011969,0.6411092985318108,0.7431452883706272,0.6759696769840281,0.6960888809489167,0.803030303030303,0.6230031948881789,0.6715499560503956,0.6274295099917876,0.7223447841159786,0.6505860892338952,0.6760809964643373,0.7828282828282829
