split,accuracy,f1,precision,recall,roc_auc,pr_auc,precision_at_top10
train,0.6607567567567567,0.699617102744097,0.6630980463315793,0.7403930573377456,0.7242465771744584,0.7478801024774737,0.8717117117117117
val,0.6417759838546923,0.6831300208271348,0.6469428007889546,0.7236054207374725,0.6778473913675487,0.6961673719408165,0.8114478114478114
test,0.6214898268034303,0.66517923546036,0.6298591549295774,0.7046958714150646,0.6525377128716044,0.6782231975211934,0.7760942760942761
